lat, lon, Styrofoam_Box, Styrofoam_Piece, PET_Bottle, Glass, Metal, Plastic_ETC, Rope
35.165120, 128.032325, 0, 6, 8, 0, 2, 13, 0
35.165131, 128.032358, 0, 8, 6, 0, 0, 11, 0
35.165157, 128.032396, 0, 14, 7, 0, 1, 10, 0
35.165196, 128.032428, 0, 8, 10, 0, 2, 6, 0
35.165245, 128.032473, 2, 15, 12, 0, 3, 10, 0
35.165297, 128.032526, 0, 15, 7, 0, 5, 15, 4
35.165347, 128.032548, 0, 18, 11, 0, 1, 15, 0
35.165386, 128.032561, 3, 19, 10, 0, 4, 14, 0
35.165417, 128.032584, 1, 19, 10, 0, 3, 6, 1
35.165459, 128.032558, 1, 16, 10, 0, 3, 15, 1
35.165507, 128.032539, 1, 23, 11, 0, 0, 10, 0
35.165551, 128.032587, 0, 16, 9, 0, 3, 16, 0
35.165555, 128.032586, 0, 15, 7, 0, 4, 15, 1
35.165625, 128.032604, 0, 16, 13, 0, 6, 13, 0
35.165665, 128.032612, 0, 18, 16, 0, 3, 8, 0
35.165681, 128.032629, 0, 21, 13, 0, 1, 6, 0
35.165705, 128.032695, 0, 21, 14, 0, 3, 5, 0
35.165725, 128.032787, 0, 24, 10, 1, 0, 3, 0
35.165736, 128.032857, 2, 20, 5, 0, 2, 1, 0
35.165742, 128.032913, 2, 10, 6, 0, 0, 4, 0
35.165748, 128.032953, 1, 10, 6, 1, 0, 5, 0
35.165752, 128.032979, 2, 8, 6, 0, 1, 3, 0
35.165757, 128.032995, 1, 11, 9, 0, 0, 4, 0
35.165765, 128.033022, 1, 12, 6, 0, 1, 5, 0
35.165779, 128.033063, 1, 9, 3, 0, 1, 3, 0
35.165800, 128.033084, 2, 10, 4, 1, 0, 3, 0
35.165812, 128.033104, 1, 15, 4, 1, 3, 3, 1
35.165824, 128.033141, 0, 9, 4, 0, 1, 8, 0
35.165839, 128.033179, 2, 10, 5, 0, 1, 10, 0
35.165867, 128.033207, 1, 8, 5, 0, 1, 17, 1
35.165901, 128.033236, 1, 8, 6, 0, 2, 13, 0
35.165933, 128.033274, 0, 7, 9, 0, 1, 5, 0
35.165962, 128.033315, 0, 10, 13, 0, 0, 16, 0
35.165987, 128.033343, 0, 14, 10, 0, 0, 10, 0
35.166020, 128.033323, 1, 17, 11, 0, 1, 14, 0
35.166051, 128.033339, 0, 18, 10, 0, 1, 11, 0
35.166084, 128.033382, 0, 13, 10, 0, 3, 17, 0
35.166117, 128.033412, 0, 16, 11, 0, 2, 17, 0
35.166154, 128.033441, 0, 17, 10, 0, 1, 24, 0
35.166178, 128.033457, 1, 18, 9, 1, 2, 16, 1
35.166213, 128.033476, 1, 15, 13, 1, 1, 17, 1
35.166250, 128.033498, 0, 10, 14, 0, 2, 16, 0
35.166285, 128.033533, 0, 9, 10, 0, 1, 15, 0
35.166323, 128.033615, 1, 12, 10, 0, 1, 10, 0
35.166374, 128.033774, 0, 20, 10, 0, 2, 11, 0
35.166387, 128.033817, 1, 14, 5, 0, 2, 7, 0
35.166400, 128.033833, 1, 9, 7, 0, 1, 9, 0
35.166460, 128.033895, 2, 14, 6, 0, 0, 6, 0
35.166509, 128.033931, 2, 18, 15, 1, 0, 7, 1
35.166559, 128.033972, 1, 16, 10, 0, 0, 7, 0
35.166620, 128.034009, 0, 14, 10, 0, 0, 10, 0
35.166681, 128.034040, 1, 9, 3, 1, 0, 11, 0
35.166747, 128.034038, 4, 9, 9, 0, 0, 6, 0
35.166813, 128.034063, 3, 16, 13, 0, 2, 10, 0
35.166871, 128.034092, 3, 16, 11, 0, 2, 10, 0
35.166911, 128.034112, 3, 15, 14, 0, 3, 15, 0
35.166943, 128.034126, 1, 12, 12, 0, 1, 11, 0
